"No.","Time","Source","Destination","Protocol","Length","Info","Source Port UDP","Source Port TCP","Destination Port UDP","Destination Port TCP"
"1","0.000000","127.0.0.1","127.0.0.1","TCP","56","50242  >  50241 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM","","50242","","50241"
"2","0.000023","127.0.0.1","127.0.0.1","TCP","56","50241  >  50242 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM","","50241","","50242"
"3","0.000036","127.0.0.1","127.0.0.1","TCP","44","50242  >  50241 [ACK] Seq=1 Ack=1 Win=2619648 Len=0","","50242","","50241"
"4","0.000075","127.0.0.1","127.0.0.1","TCP","53","50242  >  50241 [PSH, ACK] Seq=1 Ack=1 Win=2619648 Len=9","","50242","","50241"
"5","0.000081","127.0.0.1","127.0.0.1","TCP","44","50241  >  50242 [ACK] Seq=1 Ack=10 Win=2619648 Len=0","","50241","","50242"
"6","0.000175","127.0.0.1","127.0.0.1","TCP","56","50244  >  50243 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM","","50244","","50243"
"7","0.000189","127.0.0.1","127.0.0.1","TCP","56","50243  >  50244 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM","","50243","","50244"
"8","0.000239","127.0.0.1","127.0.0.1","TCP","44","50244  >  50243 [ACK] Seq=1 Ack=1 Win=2619648 Len=0","","50244","","50243"
"9","0.000338","127.0.0.1","127.0.0.1","TCP","53","50244  >  50243 [PSH, ACK] Seq=1 Ack=1 Win=2619648 Len=9","","50244","","50243"
"10","0.000344","127.0.0.1","127.0.0.1","TCP","44","50243  >  50244 [ACK] Seq=1 Ack=10 Win=2619648 Len=0","","50243","","50244"
"11","0.000865","127.0.0.1","127.0.0.1","TCP","45","50243  >  50244 [PSH, ACK] Seq=1 Ack=10 Win=2619648 Len=1","","50243","","50244"
"12","0.000875","127.0.0.1","127.0.0.1","TCP","44","50244  >  50243 [ACK] Seq=10 Ack=2 Win=2619648 Len=0","","50244","","50243"
"13","0.001005","127.0.0.1","127.0.0.1","TCP","44","50243  >  50244 [FIN, ACK] Seq=2 Ack=10 Win=2619648 Len=0","","50243","","50244"
"14","0.001012","127.0.0.1","127.0.0.1","TCP","44","50244  >  50243 [ACK] Seq=10 Ack=3 Win=2619648 Len=0","","50244","","50243"
"15","0.001021","127.0.0.1","127.0.0.1","TCP","44","50244  >  50243 [RST, ACK] Seq=10 Ack=3 Win=0 Len=0","","50244","","50243"
"16","0.001105","127.0.0.1","127.0.0.1","TCP","56","50245  >  6109 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM","","50245","","6109"
"17","0.001110","127.0.0.1","127.0.0.1","TCP","44","6109  >  50245 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","","6109","","50245"
"18","0.515887","127.0.0.1","127.0.0.1","TCP","56","[TCP Retransmission] 50245  >  6109 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM","","50245","","6109"
"19","0.515898","127.0.0.1","127.0.0.1","TCP","44","6109  >  50245 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","","6109","","50245"
"20","0.908868","127.0.0.1","127.0.0.1","TCP","45","27015  >  49784 [ACK] Seq=1 Ack=1 Win=10232 Len=1","","27015","","49784"
"21","0.908877","127.0.0.1","127.0.0.1","TCP","56","49784  >  27015 [ACK] Seq=1 Ack=2 Win=10232 Len=0 SLE=1 SRE=2","","49784","","27015"
"22","1.017993","127.0.0.1","127.0.0.1","TCP","56","[TCP Retransmission] 50245  >  6109 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM","","50245","","6109"
"23","1.018003","127.0.0.1","127.0.0.1","TCP","44","6109  >  50245 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","","6109","","50245"
"24","1.528496","127.0.0.1","127.0.0.1","TCP","56","[TCP Retransmission] 50245  >  6109 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM","","50245","","6109"
"25","1.528508","127.0.0.1","127.0.0.1","TCP","44","6109  >  50245 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","","6109","","50245"
"26","2.043470","127.0.0.1","127.0.0.1","TCP","56","[TCP Retransmission] 50245  >  6109 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM","","50245","","6109"
"27","2.043480","127.0.0.1","127.0.0.1","TCP","44","6109  >  50245 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","","6109","","50245"
"28","2.213138","127.0.0.1","127.0.0.1","TCP","44","50242  >  50241 [FIN, ACK] Seq=10 Ack=1 Win=2619648 Len=0","","50242","","50241"
"29","2.213148","127.0.0.1","127.0.0.1","TCP","44","50241  >  50242 [ACK] Seq=1 Ack=11 Win=2619648 Len=0","","50241","","50242"
"30","2.213158","127.0.0.1","127.0.0.1","TCP","44","50241  >  50242 [FIN, ACK] Seq=1 Ack=11 Win=2619648 Len=0","","50241","","50242"
"31","2.213163","127.0.0.1","127.0.0.1","TCP","44","50242  >  50241 [ACK] Seq=11 Ack=2 Win=2619648 Len=0","","50242","","50241"
"40","6.456124","127.0.0.1","127.0.0.1","TCP","56","50249  >  50248 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM","","50249","","50248"
"41","6.456146","127.0.0.1","127.0.0.1","TCP","56","50248  >  50249 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM","","50248","","50249"
"42","6.456159","127.0.0.1","127.0.0.1","TCP","44","50249  >  50248 [ACK] Seq=1 Ack=1 Win=2619648 Len=0","","50249","","50248"
"43","6.456196","127.0.0.1","127.0.0.1","TCP","53","50249  >  50248 [PSH, ACK] Seq=1 Ack=1 Win=2619648 Len=9","","50249","","50248"
"44","6.456202","127.0.0.1","127.0.0.1","TCP","44","50248  >  50249 [ACK] Seq=1 Ack=10 Win=2619648 Len=0","","50248","","50249"
"45","6.456347","127.0.0.1","127.0.0.1","TCP","56","50251  >  50250 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM","","50251","","50250"
"46","6.456365","127.0.0.1","127.0.0.1","TCP","56","50250  >  50251 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM","","50250","","50251"
"47","6.456373","127.0.0.1","127.0.0.1","TCP","44","50251  >  50250 [ACK] Seq=1 Ack=1 Win=2619648 Len=0","","50251","","50250"
"48","6.456416","127.0.0.1","127.0.0.1","TCP","53","50251  >  50250 [PSH, ACK] Seq=1 Ack=1 Win=2619648 Len=9","","50251","","50250"
"49","6.456421","127.0.0.1","127.0.0.1","TCP","44","50250  >  50251 [ACK] Seq=1 Ack=10 Win=2619648 Len=0","","50250","","50251"
"50","6.456907","127.0.0.1","127.0.0.1","TCP","45","50250  >  50251 [PSH, ACK] Seq=1 Ack=10 Win=2619648 Len=1","","50250","","50251"
"51","6.456917","127.0.0.1","127.0.0.1","TCP","44","50251  >  50250 [ACK] Seq=10 Ack=2 Win=2619648 Len=0","","50251","","50250"
"52","6.457045","127.0.0.1","127.0.0.1","TCP","44","50250  >  50251 [FIN, ACK] Seq=2 Ack=10 Win=2619648 Len=0","","50250","","50251"
"53","6.457052","127.0.0.1","127.0.0.1","TCP","44","50251  >  50250 [ACK] Seq=10 Ack=3 Win=2619648 Len=0","","50251","","50250"
"54","6.457064","127.0.0.1","127.0.0.1","TCP","44","50251  >  50250 [RST, ACK] Seq=10 Ack=3 Win=0 Len=0","","50251","","50250"
"55","6.457158","127.0.0.1","127.0.0.1","TCP","56","50252  >  58082 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM","","50252","","58082"
"56","6.457163","127.0.0.1","127.0.0.1","TCP","44","58082  >  50252 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","","58082","","50252"
"57","6.969349","127.0.0.1","127.0.0.1","TCP","56","[TCP Retransmission] 50252  >  58082 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM","","50252","","58082"
"58","6.969362","127.0.0.1","127.0.0.1","TCP","44","58082  >  50252 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","","58082","","50252"
"61","7.482324","127.0.0.1","127.0.0.1","TCP","56","[TCP Retransmission] 50252  >  58082 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM","","50252","","58082"
"62","7.482342","127.0.0.1","127.0.0.1","TCP","44","58082  >  50252 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","","58082","","50252"
"63","7.997547","127.0.0.1","127.0.0.1","TCP","56","[TCP Retransmission] 50252  >  58082 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM","","50252","","58082"
"64","7.997559","127.0.0.1","127.0.0.1","TCP","44","58082  >  50252 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","","58082","","50252"
"65","8.497944","127.0.0.1","127.0.0.1","TCP","56","[TCP Retransmission] 50252  >  58082 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM","","50252","","58082"
"66","8.497959","127.0.0.1","127.0.0.1","TCP","44","58082  >  50252 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","","58082","","50252"
"67","8.700642","127.0.0.1","127.0.0.1","TCP","44","50249  >  50248 [FIN, ACK] Seq=10 Ack=1 Win=2619648 Len=0","","50249","","50248"
"68","8.700655","127.0.0.1","127.0.0.1","TCP","44","50248  >  50249 [ACK] Seq=1 Ack=11 Win=2619648 Len=0","","50248","","50249"
"69","8.700668","127.0.0.1","127.0.0.1","TCP","44","50248  >  50249 [FIN, ACK] Seq=1 Ack=11 Win=2619648 Len=0","","50248","","50249"
"70","8.700672","127.0.0.1","127.0.0.1","TCP","44","50249  >  50248 [ACK] Seq=11 Ack=2 Win=2619648 Len=0","","50249","","50248"
"75","12.217025","127.0.0.1","127.0.0.1","TCP","56","50255  >  50254 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM","","50255","","50254"
"76","12.217048","127.0.0.1","127.0.0.1","TCP","56","50254  >  50255 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM","","50254","","50255"
"77","12.217061","127.0.0.1","127.0.0.1","TCP","44","50255  >  50254 [ACK] Seq=1 Ack=1 Win=2619648 Len=0","","50255","","50254"
"78","12.217101","127.0.0.1","127.0.0.1","TCP","53","50255  >  50254 [PSH, ACK] Seq=1 Ack=1 Win=2619648 Len=9","","50255","","50254"
"79","12.217107","127.0.0.1","127.0.0.1","TCP","44","50254  >  50255 [ACK] Seq=1 Ack=10 Win=2619648 Len=0","","50254","","50255"
"80","12.217213","127.0.0.1","127.0.0.1","TCP","56","50257  >  50256 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM","","50257","","50256"
"81","12.217229","127.0.0.1","127.0.0.1","TCP","56","50256  >  50257 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM","","50256","","50257"
"82","12.217236","127.0.0.1","127.0.0.1","TCP","44","50257  >  50256 [ACK] Seq=1 Ack=1 Win=2619648 Len=0","","50257","","50256"
"83","12.217268","127.0.0.1","127.0.0.1","TCP","53","50257  >  50256 [PSH, ACK] Seq=1 Ack=1 Win=2619648 Len=9","","50257","","50256"
"84","12.217272","127.0.0.1","127.0.0.1","TCP","44","50256  >  50257 [ACK] Seq=1 Ack=10 Win=2619648 Len=0","","50256","","50257"
"85","12.217664","127.0.0.1","127.0.0.1","TCP","45","50256  >  50257 [PSH, ACK] Seq=1 Ack=10 Win=2619648 Len=1","","50256","","50257"
"86","12.217675","127.0.0.1","127.0.0.1","TCP","44","50257  >  50256 [ACK] Seq=10 Ack=2 Win=2619648 Len=0","","50257","","50256"
"87","12.217753","127.0.0.1","127.0.0.1","TCP","44","50256  >  50257 [FIN, ACK] Seq=2 Ack=10 Win=2619648 Len=0","","50256","","50257"
"88","12.217758","127.0.0.1","127.0.0.1","TCP","44","50257  >  50256 [ACK] Seq=10 Ack=3 Win=2619648 Len=0","","50257","","50256"
"89","12.217768","127.0.0.1","127.0.0.1","TCP","44","50257  >  50256 [RST, ACK] Seq=10 Ack=3 Win=0 Len=0","","50257","","50256"
"90","12.217840","127.0.0.1","127.0.0.1","TCP","56","50258  >  6109 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM","","50258","","6109"
"91","12.217845","127.0.0.1","127.0.0.1","TCP","44","6109  >  50258 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","","6109","","50258"
"92","12.730220","127.0.0.1","127.0.0.1","TCP","56","[TCP Retransmission] 50258  >  6109 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM","","50258","","6109"
"93","12.730233","127.0.0.1","127.0.0.1","TCP","44","6109  >  50258 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","","6109","","50258"
"94","13.241331","127.0.0.1","127.0.0.1","TCP","56","[TCP Retransmission] 50258  >  6109 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM","","50258","","6109"
"95","13.241343","127.0.0.1","127.0.0.1","TCP","44","6109  >  50258 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","","6109","","50258"
"96","13.741487","127.0.0.1","127.0.0.1","TCP","56","[TCP Retransmission] 50258  >  6109 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM","","50258","","6109"
"97","13.741498","127.0.0.1","127.0.0.1","TCP","44","6109  >  50258 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","","6109","","50258"
"102","14.242219","127.0.0.1","127.0.0.1","TCP","56","[TCP Retransmission] 50258  >  6109 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM","","50258","","6109"
"103","14.242236","127.0.0.1","127.0.0.1","TCP","44","6109  >  50258 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","","6109","","50258"
"106","14.442927","127.0.0.1","127.0.0.1","TCP","44","50255  >  50254 [FIN, ACK] Seq=10 Ack=1 Win=2619648 Len=0","","50255","","50254"
"107","14.442941","127.0.0.1","127.0.0.1","TCP","44","50254  >  50255 [ACK] Seq=1 Ack=11 Win=2619648 Len=0","","50254","","50255"
"108","14.442955","127.0.0.1","127.0.0.1","TCP","44","50254  >  50255 [FIN, ACK] Seq=1 Ack=11 Win=2619648 Len=0","","50254","","50255"
"109","14.442960","127.0.0.1","127.0.0.1","TCP","44","50255  >  50254 [ACK] Seq=11 Ack=2 Win=2619648 Len=0","","50255","","50254"
"113","15.912122","127.0.0.1","127.0.0.1","TCP","45","[TCP Keep-Alive] 27015  >  49784 [ACK] Seq=1 Ack=1 Win=10232 Len=1","","27015","","49784"
"114","15.912133","127.0.0.1","127.0.0.1","TCP","56","[TCP Keep-Alive ACK] 49784  >  27015 [ACK] Seq=1 Ack=2 Win=10232 Len=0 SLE=1 SRE=2","","49784","","27015"
"118","16.993663","127.0.0.1","127.0.0.1","TCP","53","49753  >  49739 [PSH, ACK] Seq=1 Ack=1 Win=10231 Len=9","","49753","","49739"
"119","16.993711","127.0.0.1","127.0.0.1","TCP","44","49739  >  49753 [ACK] Seq=1 Ack=10 Win=10233 Len=0","","49739","","49753"
"120","16.994352","127.0.0.1","127.0.0.1","TCP","47","49739  >  49753 [PSH, ACK] Seq=1 Ack=10 Win=10233 Len=3","","49739","","49753"
"121","16.994366","127.0.0.1","127.0.0.1","TCP","44","49753  >  49739 [ACK] Seq=10 Ack=4 Win=10231 Len=0","","49753","","49739"
"128","24.457650","127.0.0.1","127.0.0.1","TCP","56","50261  >  50260 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM","","50261","","50260"
"129","24.457672","127.0.0.1","127.0.0.1","TCP","56","50260  >  50261 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM","","50260","","50261"
"130","24.457686","127.0.0.1","127.0.0.1","TCP","44","50261  >  50260 [ACK] Seq=1 Ack=1 Win=2619648 Len=0","","50261","","50260"
"131","24.457724","127.0.0.1","127.0.0.1","TCP","53","50261  >  50260 [PSH, ACK] Seq=1 Ack=1 Win=2619648 Len=9","","50261","","50260"
"132","24.457730","127.0.0.1","127.0.0.1","TCP","44","50260  >  50261 [ACK] Seq=1 Ack=10 Win=2619648 Len=0","","50260","","50261"
"133","24.457860","127.0.0.1","127.0.0.1","TCP","56","50263  >  50262 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM","","50263","","50262"
"134","24.457875","127.0.0.1","127.0.0.1","TCP","56","50262  >  50263 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM","","50262","","50263"
"135","24.457881","127.0.0.1","127.0.0.1","TCP","44","50263  >  50262 [ACK] Seq=1 Ack=1 Win=2619648 Len=0","","50263","","50262"
"136","24.457909","127.0.0.1","127.0.0.1","TCP","53","50263  >  50262 [PSH, ACK] Seq=1 Ack=1 Win=2619648 Len=9","","50263","","50262"
"137","24.457912","127.0.0.1","127.0.0.1","TCP","44","50262  >  50263 [ACK] Seq=1 Ack=10 Win=2619648 Len=0","","50262","","50263"
"138","24.458366","127.0.0.1","127.0.0.1","TCP","45","50262  >  50263 [PSH, ACK] Seq=1 Ack=10 Win=2619648 Len=1","","50262","","50263"
"139","24.458377","127.0.0.1","127.0.0.1","TCP","44","50263  >  50262 [ACK] Seq=10 Ack=2 Win=2619648 Len=0","","50263","","50262"
"140","24.458516","127.0.0.1","127.0.0.1","TCP","44","50262  >  50263 [FIN, ACK] Seq=2 Ack=10 Win=2619648 Len=0","","50262","","50263"
"141","24.458524","127.0.0.1","127.0.0.1","TCP","44","50263  >  50262 [ACK] Seq=10 Ack=3 Win=2619648 Len=0","","50263","","50262"
"142","24.458536","127.0.0.1","127.0.0.1","TCP","44","50263  >  50262 [RST, ACK] Seq=10 Ack=3 Win=0 Len=0","","50263","","50262"
"143","24.458701","127.0.0.1","127.0.0.1","TCP","56","50264  >  6109 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM","","50264","","6109"
"144","24.458706","127.0.0.1","127.0.0.1","TCP","44","6109  >  50264 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","","6109","","50264"
"145","24.972904","127.0.0.1","127.0.0.1","TCP","56","[TCP Retransmission] 50264  >  6109 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM","","50264","","6109"
"146","24.972913","127.0.0.1","127.0.0.1","TCP","44","6109  >  50264 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","","6109","","50264"
"147","25.486393","127.0.0.1","127.0.0.1","TCP","56","[TCP Retransmission] 50264  >  6109 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM","","50264","","6109"
"148","25.486409","127.0.0.1","127.0.0.1","TCP","44","6109  >  50264 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","","6109","","50264"
"149","25.987427","127.0.0.1","127.0.0.1","TCP","56","[TCP Retransmission] 50264  >  6109 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM","","50264","","6109"
"150","25.987437","127.0.0.1","127.0.0.1","TCP","44","6109  >  50264 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","","6109","","50264"
"151","26.500530","127.0.0.1","127.0.0.1","TCP","56","[TCP Retransmission] 50264  >  6109 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM","","50264","","6109"
"152","26.500545","127.0.0.1","127.0.0.1","TCP","44","6109  >  50264 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","","6109","","50264"
"153","26.687853","127.0.0.1","127.0.0.1","TCP","44","50261  >  50260 [FIN, ACK] Seq=10 Ack=1 Win=2619648 Len=0","","50261","","50260"
"154","26.687878","127.0.0.1","127.0.0.1","TCP","44","50260  >  50261 [ACK] Seq=1 Ack=11 Win=2619648 Len=0","","50260","","50261"
"155","26.687889","127.0.0.1","127.0.0.1","TCP","44","50260  >  50261 [FIN, ACK] Seq=1 Ack=11 Win=2619648 Len=0","","50260","","50261"
"156","26.687893","127.0.0.1","127.0.0.1","TCP","44","50261  >  50260 [ACK] Seq=11 Ack=2 Win=2619648 Len=0","","50261","","50260"
"157","30.923120","127.0.0.1","127.0.0.1","TCP","45","[TCP Keep-Alive] 27015  >  49784 [ACK] Seq=1 Ack=1 Win=10232 Len=1","","27015","","49784"
"158","30.923168","127.0.0.1","127.0.0.1","TCP","56","[TCP Keep-Alive ACK] 49784  >  27015 [ACK] Seq=1 Ack=2 Win=10232 Len=0 SLE=1 SRE=2","","49784","","27015"
"159","36.691897","127.0.0.1","127.0.0.1","TCP","56","50270  >  50269 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM","","50270","","50269"
"160","36.691921","127.0.0.1","127.0.0.1","TCP","56","50269  >  50270 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM","","50269","","50270"
"161","36.691935","127.0.0.1","127.0.0.1","TCP","44","50270  >  50269 [ACK] Seq=1 Ack=1 Win=2619648 Len=0","","50270","","50269"
"162","36.691967","127.0.0.1","127.0.0.1","TCP","53","50270  >  50269 [PSH, ACK] Seq=1 Ack=1 Win=2619648 Len=9","","50270","","50269"
"163","36.691973","127.0.0.1","127.0.0.1","TCP","44","50269  >  50270 [ACK] Seq=1 Ack=10 Win=2619648 Len=0","","50269","","50270"
"164","36.692100","127.0.0.1","127.0.0.1","TCP","56","50272  >  50271 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM","","50272","","50271"
"165","36.692114","127.0.0.1","127.0.0.1","TCP","56","50271  >  50272 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM","","50271","","50272"
"166","36.692120","127.0.0.1","127.0.0.1","TCP","44","50272  >  50271 [ACK] Seq=1 Ack=1 Win=2619648 Len=0","","50272","","50271"
"167","36.692173","127.0.0.1","127.0.0.1","TCP","53","50272  >  50271 [PSH, ACK] Seq=1 Ack=1 Win=2619648 Len=9","","50272","","50271"
"168","36.692176","127.0.0.1","127.0.0.1","TCP","44","50271  >  50272 [ACK] Seq=1 Ack=10 Win=2619648 Len=0","","50271","","50272"
"169","36.692720","127.0.0.1","127.0.0.1","TCP","45","50271  >  50272 [PSH, ACK] Seq=1 Ack=10 Win=2619648 Len=1","","50271","","50272"
"170","36.692733","127.0.0.1","127.0.0.1","TCP","44","50272  >  50271 [ACK] Seq=10 Ack=2 Win=2619648 Len=0","","50272","","50271"
"171","36.692857","127.0.0.1","127.0.0.1","TCP","44","50271  >  50272 [FIN, ACK] Seq=2 Ack=10 Win=2619648 Len=0","","50271","","50272"
"172","36.692863","127.0.0.1","127.0.0.1","TCP","44","50272  >  50271 [ACK] Seq=10 Ack=3 Win=2619648 Len=0","","50272","","50271"
"173","36.692872","127.0.0.1","127.0.0.1","TCP","44","50272  >  50271 [RST, ACK] Seq=10 Ack=3 Win=0 Len=0","","50272","","50271"
"174","36.692958","127.0.0.1","127.0.0.1","TCP","56","50273  >  6109 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM","","50273","","6109"
"175","36.692962","127.0.0.1","127.0.0.1","TCP","44","6109  >  50273 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","","6109","","50273"
"176","37.195062","127.0.0.1","127.0.0.1","TCP","56","[TCP Retransmission] 50273  >  6109 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM","","50273","","6109"
"177","37.195070","127.0.0.1","127.0.0.1","TCP","44","6109  >  50273 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","","6109","","50273"
"178","37.710150","127.0.0.1","127.0.0.1","TCP","56","[TCP Retransmission] 50273  >  6109 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM","","50273","","6109"
"179","37.710161","127.0.0.1","127.0.0.1","TCP","44","6109  >  50273 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","","6109","","50273"
"180","38.224423","127.0.0.1","127.0.0.1","TCP","56","[TCP Retransmission] 50273  >  6109 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM","","50273","","6109"
"181","38.224438","127.0.0.1","127.0.0.1","TCP","44","6109  >  50273 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","","6109","","50273"
"182","38.736172","127.0.0.1","127.0.0.1","TCP","56","[TCP Retransmission] 50273  >  6109 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM","","50273","","6109"
"183","38.736180","127.0.0.1","127.0.0.1","TCP","44","6109  >  50273 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","","6109","","50273"
"184","38.907917","127.0.0.1","127.0.0.1","TCP","44","50270  >  50269 [FIN, ACK] Seq=10 Ack=1 Win=2619648 Len=0","","50270","","50269"
"185","38.907926","127.0.0.1","127.0.0.1","TCP","44","50269  >  50270 [ACK] Seq=1 Ack=11 Win=2619648 Len=0","","50269","","50270"
"186","38.907937","127.0.0.1","127.0.0.1","TCP","44","50269  >  50270 [FIN, ACK] Seq=1 Ack=11 Win=2619648 Len=0","","50269","","50270"
"187","38.907941","127.0.0.1","127.0.0.1","TCP","44","50270  >  50269 [ACK] Seq=11 Ack=2 Win=2619648 Len=0","","50270","","50269"
"188","42.001615","127.0.0.1","127.0.0.1","TCP","53","49753  >  49739 [PSH, ACK] Seq=10 Ack=4 Win=10231 Len=9","","49753","","49739"
"189","42.001631","127.0.0.1","127.0.0.1","TCP","44","49739  >  49753 [ACK] Seq=4 Ack=19 Win=10233 Len=0","","49739","","49753"
"190","42.002167","127.0.0.1","127.0.0.1","TCP","47","49739  >  49753 [PSH, ACK] Seq=4 Ack=19 Win=10233 Len=3","","49739","","49753"
"191","42.002177","127.0.0.1","127.0.0.1","TCP","44","49753  >  49739 [ACK] Seq=19 Ack=7 Win=10231 Len=0","","49753","","49739"
"192","45.936456","127.0.0.1","127.0.0.1","TCP","45","[TCP Keep-Alive] 27015  >  49784 [ACK] Seq=1 Ack=1 Win=10232 Len=1","","27015","","49784"
"193","45.936467","127.0.0.1","127.0.0.1","TCP","56","[TCP Keep-Alive ACK] 49784  >  27015 [ACK] Seq=1 Ack=2 Win=10232 Len=0 SLE=1 SRE=2","","49784","","27015"
